"Space Group" "Crystal System" "Asymmetric Unit" Symmetries "Orbit Period" "Unit Cell"
2 Triclinic 30 x,y,z;-x,-y,-z 2 13.027,11.1822,9.2189,92.35,107.3,104.5
9 Monoclinic 71 x,y,z;x,-y,z+1/2;x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2 4 20.408,13.304,20.166,90.0,102.33,90.0
10 Monoclinic 50 x,y,z;-x,y,-z;-x,-y,-z;x,-y,z 4 12.7411,12.6989,20.9991,90.0,96.29,90.0
11 Monoclinic 25 x,y,z;-x,y+1/2,-z;-x,-y,-z;x,-y+1/2,z 4 11.454,21.695,7.227,90.0,93.15,90.0
12 Monoclinic 24 x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z 8 22.684,13.373,12.553,90.0,69.48,90.0
13 Monoclinic 15 x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2 4 7.412,8.641,17.18,90.0,113.68,90.0
14 Monoclinic 48 x,y,z;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x+1/2,-y+1/2,z+1/2 4 13.05,21.853,13.573,90.0,102.9,90.0
15 Monoclinic 16 x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z+1/2 8 20.332,12.085,10.275,90.0,105.25,90.0
20 Orthorhombic 13 x,y,z;-x,-y,z+1/2;x,-y,-z;-x,y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z+1/2 8 8.748,11.039,17.475,90.0,90.0,90.0
21 Orthorhombic 14 x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z 8 16.5,20.185,5.08,90.0,90.0,90.0
24 Orthorhombic 12 x,y,z;-x,-y+1/2,z;x,-y,-z+1/2;-x+1/2,y,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z;-x,y+1/2,-z+1/2 8 8.165,9.2,17.294,90.0,90.0,90.0
29 Orthorhombic 18 x,y,z;-x,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z 4 8.914,9.209,16.087,90.0,90.0,90.0
38 Orthorhombic 30 x,y,z;-x,-y,z;-x,y,z;x,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2 8 12.566,11.662,21.93,90.0,90.0,90.0
